frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
421,16.8400,484,262,2733.161,123.491,328.439
422,16.8800,489,254,2742.595,165.661,593.345
423,16.9200,490,238,2758.626,238.746,979.317
424,16.9600,488,220,2776.737,279.050,954.592
425,17.0000,484,202,2795.176,339.230,1174.470
426,17.0400,480,189,2808.778,378.083,1272.959
427,17.0800,473,177,2822.670,400.375,1173.571
428,17.1200,473,177,2822.670,320.219,407.366
429,17.1600,465,167,2835.476,293.696,73.230
430,17.2000,458,158,2846.878,258.510,-403.602
431,17.2400,449,152,2857.695,244.586,-667.486
432,17.2800,447,148,2862.167,197.484,-1014.455
433,17.3200,445,147,2864.403,208.664,-557.773
434,17.3600,444,145,2866.639,155.813,-689.414
435,17.4000,444,146,2867.639,103.805,-773.525
436,17.4400,447,147,2870.801,65.533,-895.264
437,17.4800,454,147,2877.801,78.172,-596.559
438,17.5200,466,155,2892.223,139.103,-347.808
439,17.5600,466,158,2895.223,142.922,-64.455
440,17.6000,479,171,2913.608,229.846,630.208
441,17.6400,496,195,2943.019,361.089,1477.783
442,17.6800,511,219,2971.321,467.599,1947.135
443,17.7200,517,256,3008.804,582.905,2219.010
444,17.7600,525,289,3042.760,737.684,2973.808
445,17.8000,520,309,3063.376,748.838,2594.957
446,17.8400,511,316,3074.778,658.792,1488.514
447,17.8800,504,318,3082.058,553.683,430.419
448,17.9200,498,320,3088.382,397.889,-925.078
449,17.9600,496,319,3090.618,239.290,-2491.969
450,18.0000,491,318,3095.717,161.708,-2935.651
451,18.0400,488,317,3098.880,120.510,-2691.409
452,18.0800,484,319,3103.352,106.470,-2236.063
453,18.1200,480,320,3107.475,95.463,-1512.130
454,18.1600,479,318,3109.711,95.463,-719.135
455,18.2000,481,319,3111.947,81.148,-402.796
456,18.2400,480,320,3113.361,72.408,-240.511
457,18.2800,478,321,3115.597,61.228,-226.213
458,18.3200,478,321,3115.597,40.612,-274.255
459,18.3600,479,321,3116.597,34.432,-305.156
460,18.4000,480,323,3118.833,34.432,-233.583
461,18.4400,481,324,3120.248,34.432,-189.881
462,18.4800,482,326,3122.484,34.432,-133.979
463,18.5200,479,325,3125.646,50.243,48.155
464,18.5600,475,329,3131.303,73.527,195.478
465,18.6000,473,333,3135.775,84.708,251.380
466,18.6400,472,337,3139.898,98.252,319.102
467,18.6800,474,342,3145.283,113.998,397.830
468,18.7200,475,341,3146.697,105.257,275.071
469,18.7600,477,340,3148.933,88.153,73.130
470,18.8000,476,340,3149.933,70.793,-69.575
471,18.8400,479,333,3157.549,88.256,-49.981
472,18.8800,480,318,3172.582,136.497,112.495
